Epoch: 228, Loss: 0.17, Accuracy: 0.94, Time: 41.25s
Epoch: 229, Loss: 0.17, Accuracy: 0.94, Time: 41.24s
Epoch: 230, Loss: 0.19, Accuracy: 0.94, Time: 41.40s
Epoch: 231, Loss: 0.17, Accuracy: 0.94, Time: 41.55s
Epoch: 232, Loss: 0.17, Accuracy: 0.94, Time: 41.30s
Epoch: 233, Loss: 0.16, Accuracy: 0.94, Time: 41.34s
Epoch: 234, Loss: 0.16, Accuracy: 0.94, Time: 41.60s
Epoch: 235, Loss: 0.18, Accuracy: 0.94, Time: 41.62s
Epoch: 236, Loss: 0.18, Accuracy: 0.94, Time: 41.27s
Epoch: 237, Loss: 0.16, Accuracy: 0.95, Time: 41.36s
Epoch: 238, Loss: 0.15, Accuracy: 0.95, Time: 41.24s
Epoch: 239, Loss: 0.19, Accuracy: 0.94, Time: 41.43s
Epoch: 240, Loss: 0.16, Accuracy: 0.95, Time: 41.44s
Epoch: 241, Loss: 0.18, Accuracy: 0.94, Time: 41.49s
Epoch: 242, Loss: 0.15, Accuracy: 0.95, Time: 41.43s
Epoch: 243, Loss: 0.18, Accuracy: 0.94, Time: 41.51s
Epoch: 244, Loss: 0.17, Accuracy: 0.94, Time: 41.54s
Epoch: 245, Loss: 0.15, Accuracy: 0.95, Time: 41.47s
Epoch: 246, Loss: 0.20, Accuracy: 0.94, Time: 41.52s
Epoch: 247, Loss: 0.19, Accuracy: 0.94, Time: 41.53s
Epoch: 248, Loss: 0.15, Accuracy: 0.95, Time: 42.62s
Epoch: 249, Loss: 0.17, Accuracy: 0.94, Time: 42.55s
Epoch: 250, Loss: 0.18, Accuracy: 0.94, Time: 42.50s
Epoch: 251, Loss: 0.15, Accuracy: 0.95, Time: 42.46s
Epoch: 252, Loss: 0.17, Accuracy: 0.94, Time: 42.40s
Epoch: 253, Loss: 0.16, Accuracy: 0.94, Time: 42.39s
Epoch: 254, Loss: 0.15, Accuracy: 0.95, Time: 42.60s
Epoch: 255, Loss: 0.19, Accuracy: 0.93, Time: 42.50s
Epoch: 256, Loss: 0.18, Accuracy: 0.95, Time: 42.46s
Epoch: 257, Loss: 0.18, Accuracy: 0.94, Time: 42.70s
Epoch: 258, Loss: 0.17, Accuracy: 0.94, Time: 42.41s
Epoch: 259, Loss: 0.20, Accuracy: 0.93, Time: 42.38s
Epoch: 260, Loss: 0.19, Accuracy: 0.94, Time: 42.50s
Epoch: 261, Loss: 0.15, Accuracy: 0.95, Time: 42.34s
Epoch: 262, Loss: 0.16, Accuracy: 0.95, Time: 42.43s
Epoch: 263, Loss: 0.14, Accuracy: 0.95, Time: 42.31s
Epoch: 264, Loss: 0.18, Accuracy: 0.95, Time: 42.39s
Epoch: 265, Loss: 0.16, Accuracy: 0.94, Time: 42.08s
Epoch: 266, Loss: 0.16, Accuracy: 0.95, Time: 42.24s
Epoch: 267, Loss: 0.19, Accuracy: 0.94, Time: 42.09s
